ticket_id,wave,host,requested_on,closed_on,status,replaces_serial,target_serial,requested_by,closed_by,change_window,closure_evidence,notes
CRT-0018,wave-1,identity-idp-03.stage.hbl.example.com,2026-07-01,2026-07-15,closed,4C14AFF31B4A11B4251732D50513906B,B213A3BD6B7E785DDBFFF795DE06CD4E,b.okonkwo,f.nakamura,CHG-20260715-B,rescan_verified,rotated during the standard Tuesday change window
CRT-0019,wave-1,media-cdn-04.stage.hbl.example.com,2026-07-01,2026-07-22,closed,A4C29287D58324FBD98C82393864F5FD,FDDB21701D34DCFF8576AED3816DD009,h.vasquez,b.okonkwo,CHG-20260722-B,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0020,wave-1,session-store-01.prod.hbl.example.com,2026-07-01,2026-07-13,closed,4C3E0BD9D0DD0932144B59469862E16A,8D653AB6E2D140E92E0E46B38C376B8F,b.okonkwo,a.solberg,CHG-20260713-C,rescan_verified,certificate issued and pushed via config management
CRT-0021,wave-1,media-cdn-04.dr.hbl.example.com,2026-07-02,2026-07-10,closed,E4685533840666B98EB9B174C3EE2535,1E56DEFA56A2515C6784D2166CE17A28,c.marchetti,h.vasquez,CHG-20260710-B,rescan_verified,owner reported done during the wave stand-up
CRT-0022,wave-1,checkout-web-03.prod.hbl.example.com,2026-07-03,2026-07-10,closed,4B68344558F650BC18624AB38A99B242,17BE187FDB0958852FEA567F2970FF5C,i.dlamini,b.okonkwo,CHG-20260710-C,rescan_verified,"CSR signed by internal CA; listener reloaded"
CRT-0023,wave-1,billing-api-01.prod.hbl.example.com,2026-07-04,2026-07-15,closed,94A57071BB2C09AC2F8E3A9F801E09DB,00C5240E16115D1FB0CB6383B254F269,g.pettersen,g.pettersen,CHG-20260715-A,rescan_verified,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0024,wave-1,billing-api-03.dr.hbl.example.com,2026-07-04,2026-07-27,closed,A60D0E3CDC4E9ABB7D86B8EADC06E58B,2EA55E94249E59C0E33518A412D5D559,g.pettersen,d.fernandes,CHG-20260727-A,rescan_verified,rotated during the standard Tuesday change window
CRT-0025,wave-1,partner-gw-01.prod.hbl.example.com,2026-07-04,2026-07-10,closed,636ABEF29BC07AFC2A7E75EEB5228023,E737C1D304DDCCA30CF94D1DDB32DA81,d.fernandes,d.fernandes,CHG-20260710-C,rescan_verified,rotated during the standard Tuesday change window
CRT-0026,wave-1,search-api-04.corp.hbl.example.com,2026-07-04,2026-07-25,closed,766E10F96ABC08B67102B23A1EC45C6A,31E5CCDED5DBA49DC066D9409A14567B,j.karlsson,c.marchetti,CHG-20260725-B,rescan_verified,rotated during the standard Tuesday change window
CRT-0027,wave-1,orders-api-03.corp.hbl.example.com,2026-07-06,2026-07-31,closed,DA0EB1AFAB9E765080AC473ACAF01938,4F4D2E340F6870F588B8552CF0400E9F,j.karlsson,i.dlamini,CHG-20260731-C,rescan_verified,certificate issued and pushed via config management
CRT-0028,wave-1,webhook-relay-01.stage.hbl.example.com,2026-07-06,2026-07-26,closed,441261DC43E87337FB1B33465375DE13,A59DC86C54EDDFEF2EB5CE893CE46E58,f.nakamura,d.fernandes,CHG-20260726-B,rescan_verified,"CSR signed by internal CA; listener reloaded"
CRT-0029,wave-1,catalog-api-02.dr.hbl.example.com,2026-07-07,2026-07-21,closed,799143C5F12CDC203167FF4913812828,EF0E3AD67A39472B21F4FA55E6786671,b.okonkwo,i.dlamini,CHG-20260721-C,rescan_verified,renewed ahead of the wave deadline
CRT-0030,wave-1,identity-idp-01.corp.hbl.example.com,2026-07-07,2026-07-18,closed,0880A9DC1F66C32ED037ABEE7E612947,D10E4941E2701235699276C1B4D13F45,a.solberg,c.marchetti,CHG-20260718-A,rescan_verified,certificate issued and pushed via config management
CRT-0031,wave-1,notify-worker-01.stage.hbl.example.com,2026-07-07,2026-07-28,closed,A9D3FA25F8E846704646BC2921D0269B,D58AAFD3285EC6D755FC6764A131D492,g.pettersen,g.pettersen,CHG-20260728-C,requester_attested,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0032,wave-1,fraud-scorer-03.prod.hbl.example.com,2026-07-08,2026-07-16,closed,1A4933B1E98F601CE642C137EDDF82B3,A3FD65FF12E403870B628B2ECFAC1F65,b.okonkwo,g.pettersen,CHG-20260716-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0033,wave-1,partner-gw-02.corp.hbl.example.com,2026-07-08,2026-07-31,closed,E5F1A0E570AC78181A756C0C486F2B21,53F64AF10CE6FCF4EC3A34D2EDC8A3D0,j.karlsson,f.nakamura,CHG-20260731-C,rescan_verified,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0034,wave-1,search-api-04.prod.hbl.example.com,2026-07-10,2026-07-26,closed,A16CE22DBC0E7867716943D3D8C529E0,3FA8B3D0ED8C758A20A76DEFB18BFB81,b.okonkwo,f.nakamura,CHG-20260726-C,rescan_verified,"CSR signed by internal CA; listener reloaded"
CRT-0035,wave-1,catalog-api-04.dr.hbl.example.com,2026-07-11,2026-08-01,closed,2043E01525AE069DAA6CDAB3E551431B,6EF93851204815E22DF8032970DEA4D2,a.solberg,f.nakamura,CHG-20260801-C,rescan_verified,installed with the platform bundle refresh
CRT-0036,wave-1,checkout-web-03.stage.hbl.example.com,2026-07-11,2026-08-05,closed,4FC2935B52D18D69EF57C57F387A8D8C,6010EB45973DB46D57BB3CBD497EF23D,j.karlsson,i.dlamini,CHG-20260805-B,rescan_verified,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0037,wave-1,checkout-web-04.corp.hbl.example.com,2026-07-11,2026-07-29,closed,866FA73200BAE47C9CF225A99D275701,ABEF26F8D2D52A26957A0C2CA75756AE,e.haavisto,f.nakamura,CHG-20260729-A,requester_attested,installed with the platform bundle refresh
CRT-0038,wave-1,billing-api-04.stage.hbl.example.com,2026-07-12,2026-07-23,closed,3E27D9D90A0F4B4B0948AE2D2DC24698,DE9C33C3DC6F3E7337CB48D6C634ECAC,b.okonkwo,i.dlamini,CHG-20260723-B,rescan_verified,"CSR signed by internal CA; listener reloaded"
CRT-0039,wave-1,session-store-02.prod.hbl.example.com,2026-07-12,2026-08-01,closed,C25219A05292E512F7B8BFDDB7F12232,18963399E5118C0E1B3A590A3B967B83,i.dlamini,h.vasquez,CHG-20260801-B,rescan_verified,rotated during the standard Tuesday change window
CRT-0040,wave-1,webhook-relay-04.prod.hbl.example.com,2026-07-13,2026-07-20,closed,1542C5627E4B289575137EA7D6C6FC9C,F75440E431A9BCF908DA4602EB3C9613,c.marchetti,i.dlamini,CHG-20260720-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0041,wave-1,checkout-web-04.prod.hbl.example.com,2026-07-14,2026-07-27,closed,2EC93B83E29AB19217C6F017C121063A,6685D2D6F3D62274A9C41644D185DB94,h.vasquez,f.nakamura,CHG-20260727-A,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0042,wave-1,search-api-01.corp.hbl.example.com,2026-07-14,2026-07-31,closed,193FDAA3192D7CCF37E6B0D42A38B926,363609FF8B2DB03C1C1C411D757F0D4E,i.dlamini,j.karlsson,CHG-20260731-C,requester_attested,owner reported done during the wave stand-up
CRT-0043,wave-1,admin-console-03.dr.hbl.example.com,2026-07-15,2026-08-04,closed,961962DBF914EF368D7A77640F190388,6D752864966D36FC589F9DC01FAD3DB6,i.dlamini,h.vasquez,CHG-20260804-C,requester_attested,installed with the platform bundle refresh
CRT-0044,wave-1,billing-api-03.prod.hbl.example.com,2026-07-15,2026-08-01,closed,396056A0BDEF295DF2F31496B4583803,FDC74BC90FD44DA1E35D6652C88117C5,g.pettersen,g.pettersen,CHG-20260801-C,rescan_verified,certificate issued and pushed via config management
CRT-0045,wave-1,identity-idp-01.prod.hbl.example.com,2026-07-15,2026-07-23,closed,F919DBA1097C3F1C1A159A7C68258D3A,17BA720509E6B2114EDB3D8A0807F049,g.pettersen,d.fernandes,CHG-20260723-C,requester_attested,rotated during the standard Tuesday change window
CRT-0046,wave-1,ledger-core-04.dr.hbl.example.com,2026-07-15,2026-07-24,closed,71B58583B8DCB1B68FC9D819D4ECC5CE,6202381BE26F16BA9EBFF4F78D86D1E2,h.vasquez,i.dlamini,CHG-20260724-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0047,wave-1,catalog-api-01.stage.hbl.example.com,2026-07-16,2026-08-06,closed,E3E50ACFCD80011179D7B83540B6CDAB,173967AF16A7B937358CB9913E0C0BAB,e.haavisto,h.vasquez,CHG-20260806-B,rescan_verified,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0048,wave-1,catalog-api-04.prod.hbl.example.com,2026-07-17,2026-07-23,closed,9F7ECFD252E5F7CA9BEFE891024AAE91,8AE30228ED621B236CFED24BA915BD59,e.haavisto,c.marchetti,CHG-20260723-B,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0049,wave-1,partner-gw-04.prod.hbl.example.com,2026-07-17,2026-07-26,closed,16459D182319F68371EDCE4D559D812B,E4523912BCEB98407DD96C94583D239C,d.fernandes,g.pettersen,CHG-20260726-A,requester_attested,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0050,wave-1,audit-sink-01.stage.hbl.example.com,2026-07-18,2026-08-12,closed,5BBA48B55B9FEA7282CD7F0C1F228630,0C7AF2C33582CED5907E0DBCFCBD1A63,i.dlamini,c.marchetti,CHG-20260812-C,requester_attested,certificate issued and pushed via config management
CRT-0051,wave-1,webhook-relay-03.corp.hbl.example.com,2026-07-18,2026-08-07,closed,14BE6CE916F3B0B4B271F5EABF405E4A,B3CF6F42380B956C338F62F07A7DA3A9,j.karlsson,h.vasquez,CHG-20260807-B,requester_attested,"CSR signed by internal CA; listener reloaded"
CRT-0052,wave-1,billing-api-03.stage.hbl.example.com,2026-07-19,2026-08-05,closed,E52A6F8E5ECC9AD41045B6A8AAF965B6,01CAB907996BD0B48313E11745D3E4ED,c.marchetti,f.nakamura,CHG-20260805-B,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0053,wave-1,fraud-scorer-01.prod.hbl.example.com,2026-07-19,2026-07-30,closed,A3782771A64AB5EF2C2EDFA459474A83,56961E16D07B819A9D1237E4FD92849A,g.pettersen,e.haavisto,CHG-20260730-A,requester_attested,installed with the platform bundle refresh
CRT-0054,wave-1,billing-api-04.dr.hbl.example.com,2026-07-20,2026-08-09,closed,8CAE4239F02514F3482BDAD5695DB47E,98279509334DEDF1C9BFECD4E665C8C8,e.haavisto,i.dlamini,CHG-20260809-C,rescan_verified,renewed ahead of the wave deadline
CRT-0055,wave-1,identity-idp-02.prod.hbl.example.com,2026-07-20,2026-07-27,closed,866C34E649F4DD7E07D5F0835D795DBF,CF2FAC317F98791D48F4424025AA4BE2,i.dlamini,c.marchetti,CHG-20260727-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0056,wave-1,identity-idp-04.prod.hbl.example.com,2026-07-20,2026-08-02,closed,26F6C7C7106F23294938F7F0CAB70A47,413ED17CA0FB41B2235E331D68395F72,j.karlsson,d.fernandes,CHG-20260802-B,requester_attested,installed with the platform bundle refresh
CRT-0057,wave-1,notify-worker-01.dr.hbl.example.com,2026-07-20,2026-07-26,closed,CD3F5D72BB67B909A047AE2428D96026,6725D0988B002B9BA7E2944E47996299,b.okonkwo,d.fernandes,CHG-20260726-A,rescan_verified,certificate issued and pushed via config management
CRT-0058,wave-1,partner-gw-02.prod.hbl.example.com,2026-07-20,2026-07-27,closed,BD3736230C0861FBEB9E724BC26B6B25,1DF2F63B3827B41FE53AE052C68BFE0F,i.dlamini,f.nakamura,CHG-20260727-A,rescan_verified,rotated during the standard Tuesday change window
CRT-0059,wave-2,billing-api-04.corp.hbl.example.com,2026-08-03,,open,DA2FA59EA75C2A3A37FE487A3F3AA47E,,c.marchetti,,,,queued behind the wave two freeze
CRT-0060,wave-2,identity-idp-04.stage.hbl.example.com,2026-08-03,,open,02B05B057585003DB6CC8004614CF42E,,f.nakamura,,,,queued behind the wave two freeze
CRT-0061,wave-2,reporting-api-04.prod.hbl.example.com,2026-08-06,,open,34EF871C86A7B0C9F443E0A600B82DBB,,h.vasquez,,,,awaiting CSR from the service owner
CRT-0062,wave-2,webhook-relay-01.corp.hbl.example.com,2026-08-06,,open,58FFA952BE33A36D05509E6282594625,,e.haavisto,,,,awaiting CSR from the service owner
CRT-0063,wave-2,admin-console-04.dr.hbl.example.com,2026-08-07,,open,995052923733D06152DED692B8CCB9B1,,g.pettersen,,,,scheduled for the wave two change window
CRT-0064,wave-2,webhook-relay-03.stage.hbl.example.com,2026-08-08,,open,6B67F7EA5E58DCAC75A69126DDA12DF9,,f.nakamura,,,,queued behind the wave two freeze
CRT-0065,wave-2,session-store-04.corp.hbl.example.com,2026-08-09,,open,DE86C6A9283CCB9A9CDFF43DFC0B80FE,,d.fernandes,,,,scheduled for the wave two change window
CRT-0066,wave-2,reporting-api-02.prod.hbl.example.com,2026-08-12,,open,46CA6536B8B85E10437C2B1AF239AC50,,h.vasquez,,,,awaiting CSR from the service owner
CRT-0067,wave-2,status-page-02.dr.hbl.example.com,2026-08-12,,open,5175D9CCED56CB38B4ED913A36032C73,,a.solberg,,,,awaiting CSR from the service owner
CRT-0068,wave-2,identity-idp-03.prod.hbl.example.com,2026-08-13,,open,6A2E352718699AAC3266BC41C36585F1,,j.karlsson,,,,awaiting CSR from the service owner
CRT-0069,wave-2,orders-api-04.stage.hbl.example.com,2026-08-13,,open,CD256D02001537E05363392F22216377,,d.fernandes,,,,scheduled for the wave two change window
CRT-0070,wave-2,notify-worker-04.dr.hbl.example.com,2026-08-14,,open,E0C49757E83F69457EBEC00C2ABBA4AC,,c.marchetti,,,,awaiting CSR from the service owner
