hostname,common_name,subject_alt_names,issuer,serial,not_before,not_after,key_type,key_bits,signature_algorithm,fingerprint_sha256,chain_depth,environment,owner_team,lifecycle,listener_port,protocol,ocsp_url,crl_url,certificate_path,discovered_by,last_observed
webhook-relay-02.dr.hbl.example.com,webhook-relay-02.dr.hbl.example.com,"webhook-relay-02.dr.hbl.example.com;webhook-relay.dr.hbl.example.com;webhook-relay-02.internal.hbl.example.com","CN=Harbourline Internal Issuing CA 3,OU=Platform Security,O=Harbourline Group,C=SE",AFDE6C4C4A2F9CE42FECC8E1CA39CA02,2026-03-17T09:57:54Z,2027-04-18T09:57:54Z,RSA,4096,sha384WithRSAEncryption,97E18FEFA59223D6AADA343396A0EB2E17D7A8B015B084CA73D0B6D981CB170C,3,dr,commerce-core,active,6443,https,http://ocsp.hbl-issuing-ca3.example.net,http://crl.hbl-issuing-ca3.example.net/hbl-issuing-ca3-3.crl,/etc/ssl/certs/webhook-relay-02.dr.hbl.example.com.pem,cert-probe/1.9.3,2026-08-16T08:16:01Z
webhook-relay-02.prod.hbl.example.com,webhook-relay-02.prod.hbl.example.com,"webhook-relay-02.prod.hbl.example.com;webhook-relay.prod.hbl.example.com;webhook-relay-02.internal.hbl.example.com;webhook-relay.hbl.example.com","CN=Corvus Public TLS ECC 2026 CA2,O=Corvus Trust Services,C=US",4A405704DD62BB0AF185BA0E0A61499F,2025-02-14T23:01:40Z,2027-02-14T23:01:40Z,EC,384,ecdsa-with-SHA384,71B0BBBFAB1B94BD2F76B14092644FD415DD3ED5331E2D5C48E9C31A4D21B9F5,3,prod,data-platform,active,443,mtls-internal,http://ocsp.corvus-ecc-ca2.example.net,http://crl.corvus-ecc-ca2.example.net/corvus-ecc-ca2-6.crl,/etc/ssl/certs/webhook-relay-02.prod.hbl.example.com.pem,tls-sweep-agent/2.4.1,2026-08-16T09:04:08Z
webhook-relay-02.stage.hbl.example.com,webhook-relay-02.stage.hbl.example.com,"webhook-relay-02.stage.hbl.example.com;webhook-relay.stage.hbl.example.com;webhook-relay-02.internal.hbl.example.com","CN=Harbourline Internal Issuing CA 2,OU=Platform Security,O=Harbourline Group,C=SE",C78D8DDCEA35D2736A8476F47D12C0E2,2026-02-25T03:57:29Z,2027-03-29T03:57:29Z,RSA,4096,sha384WithRSAEncryption,450D3A2E9A1744F121A5A9C83BB7EA47A4323B1F23C244C12701FBE2F1D13D29,3,stage,corp-it,active,443,https,http://ocsp.hbl-issuing-ca2.example.net,http://crl.hbl-issuing-ca2.example.net/hbl-issuing-ca2-3.crl,/etc/ssl/certs/webhook-relay-02.stage.hbl.example.com.pem,cert-probe/1.9.3,2026-08-16T16:21:23Z
webhook-relay-03.corp.hbl.example.com,webhook-relay-03.corp.hbl.example.com,"webhook-relay-03.corp.hbl.example.com;webhook-relay.corp.hbl.example.com;webhook-relay-03.internal.hbl.example.com","CN=Corvus Public TLS RSA 2026 CA1,O=Corvus Trust Services,C=US",14BE6CE916F3B0B4B271F5EABF405E4A,2025-09-11T18:24:09Z,2026-09-11T18:24:09Z,RSA,4096,sha256WithRSAEncryption,52C5C9B597E151994FBCB02C256CACF232DC76BC6E77CAD0FE38F56D2BAFF30C,3,corp,commerce-core,active,8443,mtls-internal,http://ocsp.corvus-rsa-ca1.example.net,http://crl.corvus-rsa-ca1.example.net/corvus-rsa-ca1-8.crl,/etc/ssl/certs/webhook-relay-03.corp.hbl.example.com.pem,tls-sweep-agent/2.4.1,2026-08-16T07:22:12Z
webhook-relay-03.prod.hbl.example.com,webhook-relay-03.prod.hbl.example.com,"webhook-relay-03.prod.hbl.example.com;webhook-relay.prod.hbl.example.com;webhook-relay-03.internal.hbl.example.com;webhook-relay.hbl.example.com","CN=Corvus Public TLS ECC 2026 CA2,O=Corvus Trust Services,C=US",BCB31315003AAD50627A0DD8E239F944,2026-06-14T06:29:57Z,2027-06-14T06:29:57Z,EC,384,ecdsa-with-SHA384,DAE6F71E7FE4143B4F123C86D6387E59F12A2A0EE89616798CBCD20EBB297103,2,prod,observability,active,8443,https,http://ocsp.corvus-ecc-ca2.example.net,http://crl.corvus-ecc-ca2.example.net/corvus-ecc-ca2-5.crl,/etc/ssl/certs/webhook-relay-03.prod.hbl.example.com.pem,tls-sweep-agent/2.4.1,2026-08-16T06:18:42Z
webhook-relay-03.stage.hbl.example.com,webhook-relay-03.stage.hbl.example.com,"webhook-relay-03.stage.hbl.example.com;webhook-relay.stage.hbl.example.com;webhook-relay-03.internal.hbl.example.com;webhook-relay.hbl.example.com","CN=Harbourline Internal Issuing CA 3,OU=Platform Security,O=Harbourline Group,C=SE",6B67F7EA5E58DCAC75A69126DDA12DF9,2026-01-20T21:51:36Z,2027-01-20T21:51:36Z,RSA,2048,sha256WithRSAEncryption,7920C605C645F5A56471FD9B7B72F991169217DDB64ECA9FAF1BDE56E37A84FC,2,stage,corp-it,active,9443,mtls-internal,http://ocsp.hbl-issuing-ca3.example.net,http://crl.hbl-issuing-ca3.example.net/hbl-issuing-ca3-8.crl,/etc/ssl/certs/webhook-relay-03.stage.hbl.example.com.pem,cert-probe/1.9.3,2026-08-16T08:33:29Z
webhook-relay-04.corp.hbl.example.com,webhook-relay-04.corp.hbl.example.com,"webhook-relay-04.corp.hbl.example.com;webhook-relay.corp.hbl.example.com;webhook-relay-04.internal.hbl.example.com","CN=Corvus Public TLS ECC 2026 CA2,O=Corvus Trust Services,C=US",13C98D294D95C6EEF985FE48DCB11A20,2025-12-18T22:20:27Z,2026-12-18T22:20:27Z,EC,384,ecdsa-with-SHA384,89D27F18C2C598EFB91AC7A57848BE9FCE9B6A73AE15B937454AB3C9DCD6073F,2,corp,data-platform,active,8443,https,http://ocsp.corvus-ecc-ca2.example.net,http://crl.corvus-ecc-ca2.example.net/corvus-ecc-ca2-8.crl,/etc/ssl/certs/webhook-relay-04.corp.hbl.example.com.pem,cert-probe/1.9.3,2026-08-16T23:38:51Z
webhook-relay-04.dr.hbl.example.com,webhook-relay-04.dr.hbl.example.com,"webhook-relay-04.dr.hbl.example.com;webhook-relay.dr.hbl.example.com;webhook-relay-04.internal.hbl.example.com","CN=Corvus Public TLS RSA 2026 CA1,O=Corvus Trust Services,C=US",FE6C52DA281F4753342AFFC1079E7612,2026-01-21T07:36:35Z,2027-02-22T07:36:35Z,RSA,2048,sha384WithRSAEncryption,D753B637BAED0AAED35A20902A17236FD1215876E7750443AEA061F51B57AC45,2,dr,edge-networking,active,6443,grpc-tls,http://ocsp.corvus-rsa-ca1.example.net,http://crl.corvus-rsa-ca1.example.net/corvus-rsa-ca1-5.crl,/etc/ssl/certs/webhook-relay-04.dr.hbl.example.com.pem,tls-sweep-agent/2.4.0,2026-08-16T14:13:03Z
webhook-relay-04.prod.hbl.example.com,webhook-relay-04.prod.hbl.example.com,"webhook-relay-04.prod.hbl.example.com;webhook-relay.prod.hbl.example.com;webhook-relay-04.internal.hbl.example.com","CN=Corvus Public TLS ECC 2026 CA2,O=Corvus Trust Services,C=US",F75440E431A9BCF908DA4602EB3C9613,2026-07-20T13:23:00Z,2027-07-20T13:23:00Z,EC,384,ecdsa-with-SHA384,0528F520332AD61B303201498FCE2809B9A8A502643F8172B13C34A72E81F837,2,prod,payments-platform,active,8443,mtls-internal,http://ocsp.corvus-ecc-ca2.example.net,http://crl.corvus-ecc-ca2.example.net/corvus-ecc-ca2-7.crl,/etc/ssl/certs/webhook-relay-04.prod.hbl.example.com.pem,tls-sweep-agent/2.4.0,2026-08-16T20:43:29Z
webhook-relay-04.stage.hbl.example.com,webhook-relay-04.stage.hbl.example.com,"webhook-relay-04.stage.hbl.example.com;webhook-relay.stage.hbl.example.com;webhook-relay-04.internal.hbl.example.com;webhook-relay.hbl.example.com","CN=Corvus Public TLS RSA 2026 CA1,O=Corvus Trust Services,C=US",CA17E9AF2199CA7FEE1A6BD159393232,2026-04-26T20:27:23Z,2027-04-26T20:27:23Z,RSA,4096,sha256WithRSAEncryption,8327B4D62AFFCE508E364AC8552AEE1B24A5B076DBEF69DB1AD0AAB73789B3D9,2,stage,identity,active,6443,mtls-internal,http://ocsp.corvus-rsa-ca1.example.net,http://crl.corvus-rsa-ca1.example.net/corvus-rsa-ca1-1.crl,/etc/ssl/certs/webhook-relay-04.stage.hbl.example.com.pem,cert-probe/1.9.3,2026-08-16T18:03:23Z
ledger-core-04.prod.hbl.example.com,ledger-core-04.prod.hbl.example.com,"ledger-core-04.prod.hbl.example.com;ledger-core.prod.hbl.example.com;ledger-core-04.internal.hbl.example.com","CN=Corvus Public TLS ECC 2026 CA2,O=Corvus Trust Services,C=US",6EA03A54CC71090DE17BD24AF7514EC5,2026-05-05T06:44:17Z,2027-06-06T06:44:17Z,EC,384,ecdsa-with-SHA384,FDCA70A8409C9A2A7FCDFF9A5A6464EC8D37AE92F649C4683275243E9BC17D0D,3,prod,risk-engineering,active,443,grpc-tls,http://ocsp.corvus-ecc-ca2.example.net,http://crl.corvus-ecc-ca2.example.net/corvus-ecc-ca2-1.crl,/etc/ssl/certs/ledger-core-04.prod.hbl.example.com.pem,tls-sweep-agent/2.4.1,2026-08-09T22:23:20Z
